shard_id,stage,kind,arm,image,seed,rho_bar_or_b,nu,pattern_or_cert,cell_id,descriptive
M1_CERT_10,M1_CERT,cert,CERT,m1_chirp_2,0,0.6,200.0,m1_cert,M1_CERT_10_c0002,
M1_CERT_10,M1_CERT,cert,CERT,m1_chirp_2,0,0.05,2000.0,m1_cert,M1_CERT_10_c0003,
M1_CERT_10,M1_CERT,cert,CERT,m1_chirp_2,0,0.6,2000.0,m1_cert,M1_CERT_10_c0004,
M1_CERT_10,M1_CERT,cert,CERT,m1_glyph_1,3,0.05,200.0,m1_cert,M1_CERT_10_c0005,
M1_CERT_10,M1_CERT,cert,CERT,m1_glyph_1,3,0.6,200.0,m1_cert,M1_CERT_10_c0006,
M1_CERT_10,M1_CERT,cert,CERT,m1_glyph_1,3,0.05,2000.0,m1_cert,M1_CERT_10_c0007,
M1_CERT_10,M1_CERT,cert,CERT,m1_glyph_1,3,0.6,2000.0,m1_cert,M1_CERT_10_c0008,
M1_CERT_10,M1_CERT,cert,CERT,m1_microtexture_1,1,0.05,200.0,m1_cert,M1_CERT_10_c0009,
M1_CERT_10,M1_CERT,cert,CERT,m1_microtexture_1,1,0.6,200.0,m1_cert,M1_CERT_10_c0010,
M1_CERT_10,M1_CERT,cert,CERT,m1_microtexture_1,1,0.05,2000.0,m1_cert,M1_CERT_10_c0011,
M1_CERT_10,M1_CERT,cert,CERT,m1_microtexture_1,1,0.6,2000.0,m1_cert,M1_CERT_10_c0012,
M1_CERT_11,M1_CERT,cert,CERT,m1_chirp_2,1,0.05,200.0,m1_cert,M1_CERT_11_c0001,
M1_CERT_11,M1_CERT,cert,CERT,m1_chirp_2,1,0.6,200.0,m1_cert,M1_CERT_11_c0002,
M1_CERT_11,M1_CERT,cert,CERT,m1_chirp_2,1,0.05,2000.0,m1_cert,M1_CERT_11_c0003,
M1_CERT_11,M1_CERT,cert,CERT,m1_chirp_2,1,0.6,2000.0,m1_cert,M1_CERT_11_c0004,
M1_CERT_11,M1_CERT,cert,CERT,m1_glyph_1,4,0.05,200.0,m1_cert,M1_CERT_11_c0005,
M1_CERT_11,M1_CERT,cert,CERT,m1_glyph_1,4,0.6,200.0,m1_cert,M1_CERT_11_c0006,
M1_CERT_11,M1_CERT,cert,CERT,m1_glyph_1,4,0.05,2000.0,m1_cert,M1_CERT_11_c0007,
M1_CERT_11,M1_CERT,cert,CERT,m1_glyph_1,4,0.6,2000.0,m1_cert,M1_CERT_11_c0008,
M1_CERT_11,M1_CERT,cert,CERT,m1_microtexture_1,2,0.05,200.0,m1_cert,M1_CERT_11_c0009,
M1_CERT_11,M1_CERT,cert,CERT,m1_microtexture_1,2,0.6,200.0,m1_cert,M1_CERT_11_c0010,
M1_CERT_11,M1_CERT,cert,CERT,m1_microtexture_1,2,0.05,2000.0,m1_cert,M1_CERT_11_c0011,
M1_CERT_11,M1_CERT,cert,CERT,m1_microtexture_1,2,0.6,2000.0,m1_cert,M1_CERT_11_c0012,
M1_CERT_12,M1_CERT,cert,CERT,m1_chirp_2,2,0.05,200.0,m1_cert,M1_CERT_12_c0001,
M1_CERT_12,M1_CERT,cert,CERT,m1_chirp_2,2,0.6,200.0,m1_cert,M1_CERT_12_c0002,
M1_CERT_12,M1_CERT,cert,CERT,m1_chirp_2,2,0.05,2000.0,m1_cert,M1_CERT_12_c0003,
M1_CERT_12,M1_CERT,cert,CERT,m1_chirp_2,2,0.6,2000.0,m1_cert,M1_CERT_12_c0004,
M1_CERT_12,M1_CERT,cert,CERT,m1_glyph_2,0,0.05,200.0,m1_cert,M1_CERT_12_c0005,
M1_CERT_12,M1_CERT,cert,CERT,m1_glyph_2,0,0.6,200.0,m1_cert,M1_CERT_12_c0006,
M1_CERT_12,M1_CERT,cert,CERT,m1_glyph_2,0,0.05,2000.0,m1_cert,M1_CERT_12_c0007,
M1_CERT_12,M1_CERT,cert,CERT,m1_glyph_2,0,0.6,2000.0,m1_cert,M1_CERT_12_c0008,
M1_CERT_12,M1_CERT,cert,CERT,m1_microtexture_1,3,0.05,200.0,m1_cert,M1_CERT_12_c0009,
M1_CERT_12,M1_CERT,cert,CERT,m1_microtexture_1,3,0.6,200.0,m1_cert,M1_CERT_12_c0010,
M1_CERT_12,M1_CERT,cert,CERT,m1_microtexture_1,3,0.05,2000.0,m1_cert,M1_CERT_12_c0011,
M1_CERT_12,M1_CERT,cert,CERT,m1_microtexture_1,3,0.6,2000.0,m1_cert,M1_CERT_12_c0012,
M1_CERT_13,M1_CERT,cert,CERT,m1_chirp_2,3,0.05,200.0,m1_cert,M1_CERT_13_c0001,
M1_CERT_13,M1_CERT,cert,CERT,m1_chirp_2,3,0.6,200.0,m1_cert,M1_CERT_13_c0002,
M1_CERT_13,M1_CERT,cert,CERT,m1_chirp_2,3,0.05,2000.0,m1_cert,M1_CERT_13_c0003,
M1_CERT_13,M1_CERT,cert,CERT,m1_chirp_2,3,0.6,2000.0,m1_cert,M1_CERT_13_c0004,
M1_CERT_13,M1_CERT,cert,CERT,m1_glyph_2,1,0.05,200.0,m1_cert,M1_CERT_13_c0005,
M1_CERT_13,M1_CERT,cert,CERT,m1_glyph_2,1,0.6,200.0,m1_cert,M1_CERT_13_c0006,
M1_CERT_13,M1_CERT,cert,CERT,m1_glyph_2,1,0.05,2000.0,m1_cert,M1_CERT_13_c0007,
