cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_00,RQL,12.7257,0.15402,,0.38847,-0.00637,0.314468,24.78,0.051199999999999996,0.05,0.0,36.26,36.247,12.7242,1.994451,22.765846,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,1.1749,0.025,0.7,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_00,PRECORRECT,4.5114,0.00013,,1.0,-1.0,3.4152578911825976e+16,24.78,0.051199999999999996,0.05,0.0,0.91,0.906,4.5114,1.994451,22.765846,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_01,RQL,17.9502,0.24428,,0.2609,-0.00067,0.314468,24.91,0.051199999999999996,0.05,0.0,35.07,35.067,17.9504,4.838694,23.119373,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,0.9437,0.775,0.3,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_01,PRECORRECT,6.28,0.00011,,1.0,-1.0,3.4152578911825976e+16,24.91,0.051199999999999996,0.05,0.0,0.87,0.868,6.28,4.838694,23.119373,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_02,RQL,18.032,0.46597,,0.14148,-0.00039,0.314468,24.92,0.051199999999999996,0.05,0.0,35.89,35.887,18.0321,1.0,21.666399,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,1.1086,0.125,0.75,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_02,PRECORRECT,1.0461,6e-05,,1.0,-1.0,3.4152578911825976e+16,24.92,0.051199999999999996,0.05,0.0,0.88,0.882,1.0461,1.0,21.666399,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_03,RQL,15.3662,0.33164,,0.31391,-0.00163,0.314468,24.89,0.051199999999999996,0.05,0.0,35.66,35.66,15.3655,1.0,22.408535,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,1.1245,0.05,0.35,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_03,PRECORRECT,5.3017,0.00018,,1.0,-1.0,3.4152578911825976e+16,24.89,0.051199999999999996,0.05,0.0,0.87,0.869,5.3017,1.0,22.408535,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_04,RQL,13.6976,0.0961,,0.43336,-0.00838,0.314468,24.74,0.051199999999999996,0.05,0.0,35.45,35.445,13.6985,1.963246,22.761967,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,0.9896,0.625,0.875,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_04,PRECORRECT,6.4356,0.00011,,1.0,-1.0,3.4152578911825976e+16,24.74,0.051199999999999996,0.05,0.0,0.9,0.899,6.4356,1.963246,22.761967,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_05,RQL,14.2398,0.09877,,0.45632,0.00491,0.314468,25.04,0.051199999999999996,0.05,0.0,35.57,35.572,14.2392,6.236754,23.293145,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,0.9715,0.625,0.75,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_05,PRECORRECT,7.4246,0.00954,,1.0,-1.0,3.4152578911825976e+16,25.04,0.051199999999999996,0.05,0.0,0.88,0.876,7.4246,6.236754,23.293145,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_06,RQL,12.3498,0.11448,,0.47016,-0.00041,0.314468,24.92,0.051199999999999996,0.05,0.0,35.64,35.636,12.3498,1.0,22.491861,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,1.0925,0.125,0.5,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_06,PRECORRECT,5.7947,0.00014,,1.0,-1.0,3.4152578911825976e+16,24.92,0.051199999999999996,0.05,0.0,0.87,0.869,5.7947,1.0,22.491861,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_07,RQL,12.9609,0.24316,,0.50173,-0.00261,0.314468,24.87,0.051199999999999996,0.05,0.0,35.31,35.31,12.9586,9.603527,23.71162,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,0.945,0.825,0.45,False
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_07,PRECORRECT,6.9681,0.00479,,1.0,-1.0,3.4152578911825976e+16,24.87,0.051199999999999996,0.05,0.0,0.87,0.865,6.9681,9.603527,23.71162,22.517945,2.3e-05,0.999395,0.5,1.6746927791676336e+16,3.4152578911825976e+16,,,,,
S3_c0001,S3_00,64,bern50,0.05,500.0,2048,0,stl_08,RQL,11.8806,0.14028,,0.6097,-0.0007,0.314468,24.91,0.051199999999999996,0.05,0.0,35.89,35.888,11.8802,11.269839,23.918736,22.517945,2.3e-05,0.999395,0.5,0.154201,0.314468,OK,0.8637,0.975,0.175,False
