cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_00,RQL,12.4808,0.15032,,0.39953,-0.00623,0.098372,4.73,0.020479999999999998,0.0,0.0,66.73,66.725,12.4803,24.609052,4.445997,4.322308,5e-06,1.0,0.5,0.048237,0.098372,OK,0.9366,0.95,0.425,False
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_00,POISSON-LIN,12.4573,0.1498,,0.40336,-0.05327,0.093687,4.73,0.020479999999999998,0.0,0.0,4.0,3.999,12.3975,24.609052,4.445997,4.322308,5e-06,1.0,0.5,0.04594,0.093687,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_00,PRECORRECT,4.5114,0.00013,,1.0,-1.0,547131231743.63446,4.73,0.020479999999999998,0.0,0.0,1.65,1.649,4.5114,24.609052,4.445997,4.322308,5e-06,1.0,0.5,268289175298.81754,547131231743.63446,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_00,GI,1.552,0.00493,,,,,4.73,0.020479999999999998,0.0,0.0,0.1,,,,,,,,,,,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_01,RQL,18.0687,0.24885,,0.25752,0.00906,0.098372,4.8,0.020479999999999998,0.0,0.0,65.71,65.706,18.0637,19.717608,4.421412,4.322308,5e-06,1.0,0.5,0.048237,0.098372,OK,1.0402,0.125,0.375,False
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_01,POISSON-LIN,18.0651,0.24876,,0.26028,-0.0394,0.093687,4.8,0.020479999999999998,0.0,0.0,3.64,3.635,17.9713,19.717608,4.421412,4.322308,5e-06,1.0,0.5,0.04594,0.093687,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_01,PRECORRECT,6.28,0.00011,,1.0,-1.0,547131231743.63446,4.8,0.020479999999999998,0.0,0.0,1.66,1.663,6.28,19.717608,4.421412,4.322308,5e-06,1.0,0.5,268289175298.81754,547131231743.63446,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_01,GI,3.2311,0.01406,,,,,4.8,0.020479999999999998,0.0,0.0,0.1,,,,,,,,,,,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_02,RQL,16.0647,0.44244,,0.17719,-0.0043,0.098372,4.74,0.020479999999999998,0.0,0.0,65.2,65.2,16.0775,7.087496,4.357931,4.322308,5e-06,1.0,0.5,0.048237,0.098372,OK,1.0334,0.15,0.6,False
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_02,POISSON-LIN,18.1533,0.47477,,0.14855,-0.05147,0.093687,4.74,0.020479999999999998,0.0,0.0,5.06,5.058,17.6089,7.087496,4.357931,4.322308,5e-06,1.0,0.5,0.04594,0.093687,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_02,PRECORRECT,1.0461,6e-05,,1.0,-1.0,547131231743.63446,4.74,0.020479999999999998,0.0,0.0,1.61,1.61,1.0461,7.087496,4.357931,4.322308,5e-06,1.0,0.5,268289175298.81754,547131231743.63446,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_02,GI,-2.2257,0.0007,,,,,4.74,0.020479999999999998,0.0,0.0,0.09,,,,,,,,,,,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_03,RQL,14.7881,0.32339,,0.33571,-0.01683,0.098372,4.69,0.020479999999999998,0.0,0.0,65.47,65.467,14.7825,13.39136,4.389615,4.322308,5e-06,1.0,0.5,0.048237,0.098372,OK,1.0011,0.575,0.25,False
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_03,POISSON-LIN,15.075,0.32859,,0.33012,-0.06286,0.093687,4.69,0.020479999999999998,0.0,0.0,3.59,3.591,14.9283,13.39136,4.389615,4.322308,5e-06,1.0,0.5,0.04594,0.093687,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_03,PRECORRECT,5.3017,0.00018,,1.0,-1.0,547131231743.63446,4.69,0.020479999999999998,0.0,0.0,1.62,1.616,5.3017,13.39136,4.389615,4.322308,5e-06,1.0,0.5,268289175298.81754,547131231743.63446,,,,,
S2C_c0001,S2C_00,64,hadpair,0.05,100.0,2048,0,stl_03,GI,2.2028,0.00615,,,,,4.69,0.020479999999999998,0.0,0.0,0.09,,,,,,,,,,,,,,,
